age,individual,single.cell.well.quality,post.analysis.well.quality,single.cell.quality,CD69.measurement..log10.,CD25.measurement..log10.,CD44.measurement..log10.,CD62L.measurement..log10.,sorting.plate.well,sequencing.plate.well,stimulus,time,sizeFactor
11.5,2,OK,pass,OK,1.25527250510331,0.477121254719662,1.72427586960079,1.5440680443502799,Plate 1 H3,Plate 1 H3,peptide N4,1,0.9629429577145716
11.5,2,OK,pass,OK,1.07918124604762,0.698970004336019,0.698970004336019,2.59217675739587,Plate 1 H4,Plate 1 H4,peptide N4,1,0.30260455046152923
11.5,2,OK,pass,OK,1.41497334797082,0.698970004336019,1,1.85733249643127,Plate 1 H5,Plate 1 H5,peptide N4,1,0.35296196723108414
11.5,2,OK,pass,OK,0.845098040014257,1.14612803567824,0,3.16286299332193,Plate 1 H8,Plate 1 H8,peptide N4,1,0.5872716672918431
11.5,2,OK,pass,OK,1,0.477121254719662,1.07918124604762,1.81291335664286,Plate 1 H10,Plate 1 H10,peptide N4,1,0.168211362151415
11.5,2,OK,pass,OK,2.6222140229663,2,1.17609125905568,2.13033376849501,Plate 2 A1,Plate 2 A1,peptide N4,3,0.6918969245066541
11.5,2,OK,pass,OK,2.04532297878666,0,0,2.64640372622307,Plate 2 A2,Plate 2 A2,peptide N4,3,0.4659312657377604
11.5,2,OK,pass,OK,1.41497334797082,1,1.07918124604762,3.01410032151962,Plate 2 A3,Plate 2 A3,peptide N4,3,0.28477085355988846
11.5,2,OK,pass,OK,2.81224469680037,1.6232492903979,0,1.84509804001426,Plate 2 A4,Plate 2 A4,peptide N4,3,0.7520642276598885
11.5,2,OK,pass,OK,2.47856649559384,0.954242509439325,1.14612803567824,0.778151250383644,Plate 2 A5,Plate 2 A5,peptide N4,3,0.6415665694926405
11.5,2,OK,pass,OK,2.65609820201283,0,0.477121254719662,2.31806333496276,Plate 2 A6,Plate 2 A6,peptide N4,3,0.6459505738903124
11.5,2,OK,pass,OK,2.83632411570675,1.67209785793572,1.27875360095283,1.5910646070265,Plate 2 A7,Plate 2 A7,peptide N4,3,1.1113947280283314
11.5,2,OK,pass,OK,2.36172783601759,1.79934054945358,1.72427586960079,2.17897694729317,Plate 2 A8,Plate 2 A8,peptide N4,3,1.15201442309565
11.5,2,OK,pass,OK,2.61172330800734,0.477121254719662,1.41497334797082,1.83250891270624,Plate 2 A9,Plate 2 A9,peptide N4,3,0.7832168185803825
11.5,2,OK,pass,OK,2.39445168082622,1.50514997831991,0,1.99122607569249,Plate 2 A10,Plate 2 A10,peptide N4,3,0.4234262683677394
11.5,2,OK,pass,OK,2.32837960343874,0.954242509439325,0.602059991327962,2.19589965240923,Plate 2 A11,Plate 2 A11,peptide N4,3,0.5242087562957021
11.5,2,OK,pass,OK,2.1846914308176,1.43136376415899,0.903089986991944,2.25042000230889,Plate 2 A12,Plate 2 A12,peptide N4,3,0.8011497419190077
11.5,2,OK,pass,OK,2.77524625974024,1.69897000433602,0.698970004336019,1.76342799356294,Plate 2 B1,Plate 2 B1,peptide N4,3,0.3832260305113092
11.5,2,OK,pass,OK,2.6222140229663,1.98677173426624,1.46239799789896,1.7160033436348,Plate 2 B2,Plate 2 B2,peptide N4,3,0.44860272160622167
11.5,2,OK,pass,OK,1.99563519459755,0.301029995663981,0.301029995663981,1.97772360528885,Plate 2 B3,Plate 2 B3,peptide N4,3,0.4553501193211571
11.5,2,OK,pass,OK,2.54777470538782,1.89762709129044,2.12057393120585,1.53147891704226,Plate 2 B4,Plate 2 B4,peptide N4,3,0.6808602385384409
11.5,2,OK,pass,OK,1.90308998699194,1.50514997831991,0.698970004336019,2.17609125905568,Plate 2 B5,Plate 2 B5,peptide N4,3,0.5826350865091201
11.5,2,OK,pass,OK,2.61172330800734,1.53147891704226,1.20411998265592,1.63346845557959,Plate 2 B6,Plate 2 B6,peptide N4,3,0.7314567008152763
11.5,2,OK,pass,OK,2.52891670027765,1.25527250510331,1.36172783601759,1.04139268515823,Plate 2 B7,Plate 2 B7,peptide N4,3,0.7548335473102697
11.5,2,OK,pass,OK,2.26717172840301,1.49136169383427,0.954242509439325,1.07918124604762,Plate 2 B9,Plate 2 B9,peptide N4,3,0.4410930844435429
11.5,2,OK,pass,OK,1.89209460269048,0.477121254719662,1.39794000867204,1.81291335664286,Plate 2 B10,Plate 2 B10,peptide N4,3,0.5736415630842664
11.5,2,OK,pass,OK,1.51851393987789,1.27875360095283,0,2.6170003411209,Plate 2 B11,Plate 2 B11,peptide N4,3,0.38387100235170746
11.5,2,OK,pass,OK,2.74036268949424,1.39794000867204,1.04139268515823,2.06069784035361,Plate 2 B12,Plate 2 B12,peptide N4,3,0.45916582685246415
11.5,2,OK,pass,OK,1.2304489213782701,0.477121254719662,0.954242509439325,2.78887511577542,Plate 2 C2,Plate 2 C2,peptide N4,1,0.4046499203147472
11.5,2,OK,pass,OK,0.602059991327962,0.778151250383644,0.954242509439325,2.83314711191279,Plate 2 C5,Plate 2 C5,peptide N4,1,0.17742588991318842
11.5,2,OK,pass,OK,1,1.39794000867204,1.94448267215017,3.43520710324075,Plate 2 C7,Plate 2 C7,peptide N4,1,0.4581510110196697
11.5,2,OK,pass,OK,1.65321251377534,0.477121254719662,0,1.82607480270083,Plate 2 C8,Plate 2 C8,peptide N4,1,0.6507495252062825
11.5,2,OK,pass,OK,0,0.903089986991944,0.845098040014257,2.35218251811136,Plate 2 C10,Plate 2 C10,peptide N4,1,0.6309673819056764
11.5,2,OK,pass,OK,1.34242268082221,0.845098040014257,1.41497334797082,1.17609125905568,Plate 2 C11,Plate 2 C11,peptide N4,1,0.23844563836597016
11.5,2,OK,pass,OK,0.602059991327962,0.845098040014257,0.845098040014257,2.60530504614111,Plate 2 C12,Plate 2 C12,peptide N4,1,0.3074666458737622
11.5,2,OK,pass,OK,0,0.954242509439325,0.698970004336019,2.45636603312904,Plate 2 D1,Plate 2 D1,NA,NA,0.3984617988809963
11.5,2,OK,pass,OK,0,1.07918124604762,1.36172783601759,3.21616590228599,Plate 2 D2,Plate 2 D2,NA,NA,0.3497912315401753
11.5,2,OK,pass,OK,0.778151250383644,0.903089986991944,0,2.29225607135648,Plate 2 D3,Plate 2 D3,NA,NA,0.23504487775296123
11.5,2,OK,pass,OK,0.602059991327962,0.845098040014257,0,2.8394780473742,Plate 2 D4,Plate 2 D4,NA,NA,0.4412464343916096
11.5,2,OK,pass,OK,0.778151250383644,0.845098040014257,1.14612803567824,2.19865708695442,Plate 2 D5,Plate 2 D5,NA,NA,0.289511171072186
11.5,2,OK,pass,OK,0.845098040014257,0.845098040014257,1.20411998265592,2.89431606268444,Plate 2 D7,Plate 2 D7,NA,NA,0.4208012780802444
11.5,2,OK,pass,OK,0,0.698970004336019,0.845098040014257,2.9795483747041,Plate 2 D8,Plate 2 D8,NA,NA,0.7411267681286596
11.5,2,OK,pass,OK,0,0.845098040014257,1.17609125905568,2.88705437805096,Plate 2 D9,Plate 2 D9,NA,NA,0.7183994037666545
11.5,2,OK,pass,OK,0.301029995663981,0.602059991327962,1.07918124604762,3.01577875638904,Plate 2 D10,Plate 2 D10,NA,NA,0.8232772373665165
11.5,2,OK,pass,OK,0,0.845098040014257,1.04139268515823,2.51851393987789,Plate 2 D12,Plate 2 D12,NA,NA,0.3074756664589426
11.5,2,OK,pass,OK,2.95808584852109,2.06818586174616,1.46239799789896,2.73239375982297,Plate 2 E1,Plate 2 E1,peptide N4,6,0.4583449536010482
11.5,2,OK,pass,OK,2.83758843823551,2.56110138364906,2.7160033436348,1.79934054945358,Plate 2 E2,Plate 2 E2,peptide N4,6,0.5527318466361109
11.5,2,OK,pass,OK,2.68214507637383,2.38560627359831,1.46239799789896,2.31806333496276,Plate 2 E3,Plate 2 E3,peptide N4,6,0.43610019054619426
11.5,2,OK,pass,OK,2.89431606268444,2.54406804435028,2.04139268515822,1.78532983501077,Plate 2 E4,Plate 2 E4,peptide N4,6,0.8731565631215105
11.5,2,OK,pass,OK,2.52762990087134,2.2380461031288,1.6232492903979,1.47712125471966,Plate 2 E5,Plate 2 E5,peptide N4,6,0.7863740233935207
11.5,2,OK,pass,OK,2.9329808219232,2.30319605742049,2.18184358794477,2.12385164096709,Plate 2 E6,Plate 2 E6,peptide N4,6,0.6419815164109386
11.5,2,OK,pass,OK,2.7427251313047,1.67209785793572,1.32221929473392,2.49276038902684,Plate 2 E7,Plate 2 E7,peptide N4,6,0.9017518181433624
11.5,2,OK,pass,OK,2.6232492903979,2.59549622182557,0.845098040014257,1.68124123737559,Plate 2 E8,Plate 2 E8,peptide N4,6,1.4017718752778352
11.5,2,OK,pass,OK,2.79726754083072,1.89209460269048,1.27875360095283,1.36172783601759,Plate 2 E9,Plate 2 E9,peptide N4,6,1.53046405375394
11.5,2,OK,pass,OK,2.76863810124761,2.16731733474818,1.88081359228079,2.14301480025409,Plate 2 E10,Plate 2 E10,peptide N4,6,1.2272731652556852
11.5,2,OK,pass,OK,1.99122607569249,2.14301480025409,3.02407498730743,1.30102999566398,Plate 2 E11,Plate 2 E11,peptide N4,6,0.658800397479785
11.5,2,OK,pass,OK,3.10856502373283,2.54282542695918,2.14612803567824,1.7160033436348,Plate 2 E12,Plate 2 E12,peptide N4,6,0.5896125091461556
11.5,2,OK,pass,OK,2.28330122870355,1.60205999132796,0.301029995663981,3.24254142829838,Plate 2 F1,Plate 2 F1,peptide T4,6,0.4827952497325088
11.5,2,OK,pass,OK,2.72098574415374,1,1.07918124604762,2.60097289568675,Plate 2 F2,Plate 2 F2,peptide T4,6,0.4098142053305233
11.5,2,OK,pass,OK,2.11727129565576,1.60205999132796,1.17609125905568,2.53529412004277,Plate 2 F3,Plate 2 F3,peptide T4,6,0.45835397418622864
11.5,2,OK,pass,OK,0.698970004336019,1.34242268082221,1.04139268515823,3.37069809257558,Plate 2 F4,Plate 2 F4,peptide T4,6,0.6010325699845357
11.5,2,OK,pass,OK,2.78318869107526,1.98227123303957,0,2.77959649125782,Plate 2 F5,Plate 2 F5,peptide T4,6,0.5275373522272678
11.5,2,OK,pass,OK,2.54900326202579,2.53781909507327,2.32633586092875,2.15228834438306,Plate 2 F6,Plate 2 F6,peptide T4,6,0.8986712883042576
11.5,2,OK,pass,OK,2.60205999132796,2.38381536598043,1.81954393554187,2.42488163663107,Plate 2 F7,Plate 2 F7,peptide T4,6,1.1015216975483892
11.5,2,OK,pass,OK,2.29446622616159,2.08635983067475,0,2.84073323461181,Plate 2 F8,Plate 2 F8,peptide T4,6,0.9710750152546977
11.5,2,OK,pass,OK,0,1.14612803567824,0.477121254719662,3.20194306340165,Plate 2 F9,Plate 2 F9,peptide T4,6,0.9894183752190309
11.5,2,OK,pass,OK,2.68663626926229,1.95424250943932,1.85125834871908,2.07554696139253,Plate 2 F10,Plate 2 F10,peptide T4,6,1.33746863381939
11.5,2,OK,pass,OK,2.45636603312904,2.12385164096709,1.80617997398389,2.3747483460101,Plate 2 F11,Plate 2 F11,peptide T4,6,0.23896883230643307
11.5,2,OK,pass,OK,2.62940959910272,2.05690485133647,1.39794000867204,2.44247976906445,Plate 2 F12,Plate 2 F12,peptide T4,6,0.46638229499678013
11.5,2,OK,pass,OK,1.66275783168157,1.32221929473392,1.14612803567824,3.36436335461573,Plate 2 G1,Plate 2 G1,peptide G4,6,0.35464430636722777
11.5,2,OK,pass,OK,2.11058971029925,1.43136376415899,0,2.73479982958885,Plate 2 G2,Plate 2 G2,peptide G4,6,0.30098535542164834
11.5,2,OK,pass,OK,2.72181061521255,2.17897694729317,0,2.66558099101795,Plate 2 G3,Plate 2 G3,peptide G4,6,0.39012677817431135
11.5,2,OK,pass,OK,1.32221929473392,1.17609125905568,1.04139268515823,3.27966694404846,Plate 2 G4,Plate 2 G4,peptide G4,6,0.3343705411742901
11.5,2,OK,pass,OK,1.81954393554187,1.32221929473392,1,3.1152775913959,Plate 2 G5,Plate 2 G5,peptide G4,6,0.44429990247517326
11.5,2,OK,pass,OK,0,1.14612803567824,1.30102999566398,3.15685190107001,Plate 2 G6,Plate 2 G6,peptide G4,6,0.3383937221647463
11.5,2,OK,pass,OK,0,1.32221929473392,1.61278385671974,3.34380233316165,Plate 2 G7,Plate 2 G7,peptide G4,6,0.5092390951888366
11.5,2,OK,pass,OK,2.14612803567824,1.82607480270083,0,3.04257551244019,Plate 2 G8,Plate 2 G8,peptide G4,6,0.820801086734498
11.5,2,OK,pass,OK,1,1.04139268515823,0.954242509439325,2.96941591235398,Plate 2 G9,Plate 2 G9,peptide G4,6,0.954156907748867
11.5,2,OK,pass,OK,1.99122607569249,1.81954393554187,1.11394335230684,2.81224469680037,Plate 2 G10,Plate 2 G10,peptide G4,6,1.2252660850530472
11.5,2,OK,pass,OK,1.79239168949825,1.38021124171161,0.301029995663981,3.39005149645899,Plate 2 G11,Plate 2 G11,peptide G4,6,0.16293883011347413
11.5,2,OK,pass,OK,1.20411998265592,1.27875360095283,0.903089986991944,2.90091306773767,Plate 2 H1,Plate 2 H1,peptide NP68,6,0.32735252590394287
11.5,2,OK,pass,OK,1.34242268082221,0.954242509439325,1.56820172406699,3.13417710757677,Plate 2 H2,Plate 2 H2,peptide NP68,6,0.2394153512728626
11.5,2,OK,pass,OK,1.38021124171161,0.698970004336019,1.34242268082221,2.79934054945358,Plate 2 H3,Plate 2 H3,peptide NP68,6,0.23323625042429202
11.5,2,OK,pass,OK,0.845098040014257,1.2304489213782701,0,3.37694175714676,Plate 2 H4,Plate 2 H4,peptide NP68,6,0.23867566328807022
11.5,2,OK,pass,OK,0.698970004336019,1.17609125905568,1.25527250510331,3.21616590228599,Plate 2 H5,Plate 2 H5,peptide NP68,6,0.317808746783085
11.5,2,OK,pass,OK,0,1.30102999566398,0,3.33984878303764,Plate 2 H6,Plate 2 H6,peptide NP68,6,0.4305074277343494
11.5,2,OK,pass,OK,1.11394335230684,1.07918124604762,1.17609125905568,3.12807601266872,Plate 2 H7,Plate 2 H7,peptide NP68,6,0.6528874038940361
11.5,2,OK,pass,OK,0.477121254719662,1.20411998265592,0,3.32510498297141,Plate 2 H8,Plate 2 H8,peptide NP68,6,0.7237621416563994
11.5,2,OK,pass,OK,1,1.86332286012046,0.301029995663981,3.35983548233989,Plate 2 H9,Plate 2 H9,peptide NP68,6,2.034024690571718
11.5,2,OK,pass,OK,0.698970004336019,0.845098040014257,1.46239799789896,3.34556975605639,Plate 2 H10,Plate 2 H10,peptide NP68,6,1.563673338095564
11.5,2,OK,pass,OK,1.83250891270624,1,1.04139268515823,1.20411998265592,Plate 2 H11,Plate 2 H11,peptide NP68,6,0.3239201932428026
11.5,2,OK,pass,OK,0.477121254719662,0.778151250383644,1.50514997831991,2.95568775031351,Plate 3 A1,Plate 3 A1,peptide G4,6,0.477775294079619
11.5,2,OK,pass,OK,2.37657695705651,1.88081359228079,0.698970004336019,2.67669360962487,Plate 3 A2,Plate 3 A2,peptide G4,6,0.5304690424108961
11.5,2,OK,pass,OK,1.27875360095283,0.698970004336019,0,3.15986784709257,Plate 3 A3,Plate 3 A3,peptide G4,6,0.3923774141768199
11.5,2,OK,pass,OK,1.97772360528885,1.49136169383427,1.56820172406699,3.07518185461869,Plate 3 A4,Plate 3 A4,peptide G4,6,0.2857901796852731
11.5,2,OK,pass,OK,2.28555730900777,0.845098040014257,0,2.73798732633343,Plate 3 A5,Plate 3 A5,peptide G4,6,0.4517554161267697
11.5,2,OK,pass,OK,0.698970004336019,0.954242509439325,0.778151250383644,3.17724783625562,Plate 3 A6,Plate 3 A6,peptide G4,6,0.3657396261391136
11.5,2,OK,pass,OK,2.60097289568675,2.20951501454263,0,2.99166900737995,Plate 3 A7,Plate 3 A7,peptide G4,6,1.0632879472612853
11.5,2,OK,pass,OK,2.41995574848976,2.00432137378264,2.00432137378264,2.46834733041216,Plate 3 A9,Plate 3 A9,peptide G4,6,0.9907038086072372
11.5,2,OK,pass,OK,0,1,1.34242268082221,2.9415114326344,Plate 3 A10,Plate 3 A10,peptide G4,6,0.38050632407942014
11.5,2,OK,pass,OK,1.75587485567249,0.954242509439325,1.36172783601759,3.17435059747938,Plate 3 A11,Plate 3 A11,peptide G4,6,0.4800710330080295
11.5,2,OK,pass,OK,1.11394335230684,1.81954393554187,0,3.17840134153376,Plate 3 A12,Plate 3 A12,peptide G4,6,0.35169908530582883
11.5,2,OK,pass,OK,0.477121254719662,0.903089986991944,1.38021124171161,2.62428209583567,Plate 3 B1,Plate 3 B1,peptide NP68,6,0.7272801698767534
11.5,2,OK,pass,OK,0,1.11394335230684,0,3.23879856271392,Plate 3 B2,Plate 3 B2,peptide NP68,6,0.24774586168695734
11.5,2,OK,pass,OK,0,0.477121254719662,1.72427586960079,2.63548374681491,Plate 3 B3,Plate 3 B3,peptide NP68,6,0.27303507224019463
11.5,2,OK,pass,OK,0,1.04139268515823,1.41497334797082,3.3230457354817,Plate 3 B4,Plate 3 B4,peptide NP68,6,0.11706013388598537
11.5,2,OK,pass,OK,0,1.2304489213782701,0.602059991327962,3.10856502373283,Plate 3 B5,Plate 3 B5,peptide NP68,6,0.24660926795422758
11.5,2,OK,pass,OK,2.50785587169583,2.01703333929878,1.14612803567824,3.23754373814287,Plate 3 B6,Plate 3 B6,peptide NP68,6,0.46517804687519737
11.5,2,OK,pass,OK,0.301029995663981,0.954242509439325,1.2304489213782701,3.14332712999205,Plate 3 B7,Plate 3 B7,peptide NP68,6,0.29195123936348283
11.5,2,OK,pass,OK,0,1.07918124604762,0.698970004336019,3.2496874278053,Plate 3 B8,Plate 3 B8,peptide NP68,6,0.48642152497502755
11.5,2,OK,pass,OK,0,1.30102999566398,0,3.32014628611105,Plate 3 B9,Plate 3 B9,peptide NP68,6,0.41720657488585705
11.5,2,OK,pass,OK,1.30102999566398,1.17609125905568,1.14612803567824,3.36810085170935,Plate 3 B10,Plate 3 B10,peptide NP68,6,0.2754074861426385
11.5,2,OK,pass,OK,0,1.39794000867204,0.602059991327962,3.43360984332372,Plate 3 B11,Plate 3 B11,peptide NP68,6,0.43209505072609894
11.5,2,OK,pass,OK,2.71180722904119,2.33645973384853,1,2.14612803567824,Plate 3 C1,Plate 3 C1,peptide N4,6,0.5462415355988167
11.5,2,OK,pass,OK,2.90200289135073,2.58883172559421,0.954242509439325,1.97772360528885,Plate 3 C2,Plate 3 C2,peptide N4,6,0.7149309887647926
11.5,2,OK,pass,OK,2.5705429398819,2.51454775266029,0.698970004336019,1.32221929473392,Plate 3 C3,Plate 3 C3,peptide N4,6,0.5153325004781935
11.5,2,OK,pass,OK,2.87448181769947,1.78532983501077,1.63346845557959,1.69897000433602,Plate 3 C4,Plate 3 C4,peptide N4,6,0.6214551748329499
11.5,2,OK,pass,OK,2.9329808219232,2.52633927738984,0,1.85125834871908,Plate 3 C5,Plate 3 C5,peptide N4,6,0.5765867841456653
11.5,2,OK,pass,OK,2.72263392253381,2.32428245529769,0,2.03742649794062,Plate 3 C6,Plate 3 C6,peptide N4,6,0.5629025564270062
11.5,2,OK,pass,OK,2.67669360962487,2.62940959910272,2.17026171539496,1.83250891270624,Plate 3 C7,Plate 3 C7,peptide N4,6,0.7282002695651537
11.5,2,OK,pass,OK,2.80617997398389,2.34439227368511,1.84509804001426,1.36172783601759,Plate 3 C8,Plate 3 C8,peptide N4,6,0.3338744089893684
11.5,2,OK,pass,OK,2.54157924394658,1.92941892571429,2.19589965240923,2.17897694729317,Plate 3 C9,Plate 3 C9,peptide N4,6,0.9327645899935603
11.5,2,OK,pass,OK,2.86451108105839,2.3096301674259,1.51851393987789,1.92427928606188,Plate 3 C10,Plate 3 C10,peptide N4,6,0.531312467125263
11.5,2,OK,pass,OK,2.36921585741014,2.22530928172586,0,2.34439227368511,Plate 3 C11,Plate 3 C11,peptide N4,6,0.5067223519235065
11.5,2,OK,pass,OK,2.6730209071289,2.14612803567824,1.47712125471966,2.44715803134222,Plate 3 C12,Plate 3 C12,peptide N4,6,0.6335517795598595
11.5,2,OK,pass,OK,2.55630250076729,2.04532297878666,1.2304489213782701,2.33445375115093,Plate 3 D1,Plate 3 D1,peptide T4,6,0.6433120527250469
11.5,2,OK,pass,OK,2.44870631990508,1.69897000433602,0,2.14612803567824,Plate 3 D2,Plate 3 D2,peptide T4,6,0.5224768039410662
11.5,2,OK,pass,OK,2.70842090013471,2.49276038902684,0,1.39794000867204,Plate 3 D3,Plate 3 D3,peptide T4,6,0.8379582397476093
11.5,2,OK,pass,OK,2.73479982958885,2.26007138798507,2.24551266781415,2.94987770403687,Plate 3 D4,Plate 3 D4,peptide T4,6,0.8799941666882498
11.5,2,OK,pass,OK,2.26951294421792,1.94939000664491,1.30102999566398,2.25285303097989,Plate 3 D5,Plate 3 D5,peptide T4,6,0.7581486123640649
11.5,2,OK,pass,OK,2.50514997831991,1.53147891704226,1.60205999132796,2.54032947479087,Plate 3 D6,Plate 3 D6,peptide T4,6,0.5712691491818225
11.5,2,OK,pass,OK,1.46239799789896,1.51851393987789,1.34242268082221,3.07591176148278,Plate 3 D7,Plate 3 D7,peptide T4,6,0.7106371902189246
